Date,PHWR Temp (°F),SHWS Temp (°F),SHWR Temp (°F),Common Temp (°F),SHWS Flow (gpm),Gas Flow (SCFH),PHWR Temp (K),SHWS Temp (K),Density (kg/m³),Primary Mass Flow (kg/min),Bypass Mass Flow (kg/min),Bypass Mass Flow (lb/min),PHWR Volumetric Flow (m³/min),Primary Mass Flow (lb/min),Bypass Percentage (%),Secondary Mass Flow (kg/min),Campus Percentage (%),Campus Mass Flow (kg/min)
8/24/2024 0:00,193.1,197.5,183.6,196.1,96.9,"1,673.30",362.65,365.0944444444444,965.6452133390212,354.2046792567869,35.42046792567869,78.08867199830975,0.366806229,780.8867199830975,10.0,354.2046792567869,90.0,318.7842113311082
8/24/2024 0:15,192.4,196.5,184.1,195.6,110.4,"2,328.80",362.2611111111111,364.5388888888889,965.9054241152904,403.66082488562887,40.366082488562895,88.99187277593552,0.417909264,889.9187277593551,10.000000000000002,403.66082488562887,90.0,363.294742397066
8/24/2024 0:30,190.5,196.8,179.4,195.8,119.3,"3,351.90",361.2055555555555,364.7055555555555,966.6080384067412,436.51962274556575,43.65196227455658,96.23598906973292,0.451599413,962.3598906973292,10.000000000000002,436.5196227455658,90.0,392.8676604710092
8/24/2024 0:45,192.9,197.3,183.4,196.5,110.6,"2,914.10",362.5388888888889,364.9833333333333,965.7196334492724,404.3143101966663,40.43143101966663,89.13594145457745,0.4186663459999999,891.3594145457743,10.0,404.3143101966662,90.0,363.8828791769997
8/24/2024 1:00,192.0,197.2,182.9,195.6,111.2,"2,185.20",362.0388888888889,364.92777777777775,966.0537893591356,406.6483558353098,40.66483558353099,89.65050982416408,0.420937592,896.5050982416408,10.000000000000002,406.6483558353098,90.0,365.9835202517788
8/24/2024 1:15,191.2,195.8,181.7,194.4,100.1,"1,686.50",361.5944444444444,364.15,966.3498059872584,366.168824930131,36.6168824930131,80.72631148174654,0.3789195409999999,807.2631148174653,10.0,366.168824930131,89.99999999999999,329.5519424371179
8/24/2024 1:30,193.3,197.9,181.3,197.0,96.3,"2,887.50",362.7611111111111,365.31666666666666,965.5707339367486,351.9843110809302,35.19843110809301,77.599165189524,0.364534983,775.9916518952402,9.999999999999998,351.9843110809302,90.0,316.78587997283717
8/24/2024 1:45,192.8,197.3,183.1,196.0,116.0,"1,690.00",362.4833333333333,364.9833333333333,965.7568212600696,424.0711213368653,42.40711213368653,93.491567552168,0.43910756,934.91567552168,10.0,424.0711213368653,89.99999999999999,381.66400920317875
8/24/2024 2:00,191.7,196.3,183.1,195.1,134.0,"1,817.00",361.8722222222222,364.42777777777775,966.1649072057052,490.08226038566346,49.00822603856635,108.04451528914412,0.50724494,1080.4451528914412,10.0,490.08226038566346,89.99999999999999,441.0740343470971
8/24/2024 2:15,193.3,198.0,183.3,196.8,115.2,"1,809.40",362.7611111111111,365.3722222222222,965.5707339367486,421.0653440968137,42.10653440968137,92.82890789027174,0.436079232,928.2890789027172,10.0,421.0653440968137,89.99999999999999,378.9588096871323
8/24/2024 2:30,190.6,196.3,180.4,194.6,119.3,"1,529.80",361.2611111111111,364.42777777777775,966.5711928114084,436.5029832963419,43.65029832963418,96.23232070347812,0.451599413,962.3232070347811,10.0,436.5029832963419,89.99999999999999,392.85268496670767
8/24/2024 2:45,192.8,198.2,182.2,197.2,118.2,"2,214.60",362.4833333333333,365.4833333333333,965.7568212600696,432.11384950015065,43.211384950015066,95.2646834885022,0.447435462,952.646834885022,10.0,432.11384950015065,89.99999999999999,388.90246455013556
8/24/2024 3:00,191.5,196.3,182.9,194.7,114.1,"1,702.70",361.7611111111111,364.42777777777775,966.238911382957,417.3333509231039,41.7333350923104,92.00614521120934,0.431915281,920.0614521120932,10.000000000000002,417.3333509231039,89.99999999999999,375.6000158307935
8/24/2024 3:15,191.2,196.5,182.0,195.3,123.0,"2,311.50",361.5944444444444,364.5388888888889,966.3498059872584,449.9377169471141,44.993771694711405,99.19416895359466,0.46560543,991.9416895359464,10.0,449.937716947114,89.99999999999999,404.94394525240267
8/24/2024 3:30,192.0,196.8,183.3,195.8,109.7,"2,351.00",362.0388888888889,364.7055555555555,966.0537893591356,401.1629913231429,40.11629913231429,88.44119539308272,0.415259477,884.4119539308272,10.0,401.1629913231428,90.0,361.0466921908286
8/24/2024 3:45,191.3,195.9,182.2,194.4,105.4,"2,140.70",361.65,364.2055555555555,966.3128560127748,385.5416427086401,38.554164270864014,84.99728163483222,0.398982214,849.972816348322,10.0,385.5416427086401,90.0,346.9874784377761
8/24/2024 4:00,191.5,195.8,183.1,194.6,100.2,"1,703.40",361.7611111111111,364.15,966.238911382957,366.49256584132354,36.64925658413235,80.79768405050986,0.379298082,807.9768405050986,10.0,366.49256584132354,90.0,329.8433092571912
8/24/2024 4:15,192.4,196.5,183.6,195.6,108.4,"2,307.70",362.2611111111111,364.5388888888889,965.9054241152904,396.3481287826284,39.63481287826284,87.3797011676758,0.410338444,873.7970116767581,10.0,396.3481287826284,90.0,356.7133159043656
8/24/2024 4:30,191.2,196.5,181.7,195.8,126.3,"3,412.00",361.5944444444444,364.5388888888889,966.3498059872584,462.0092166700854,46.200921667008544,101.85547592552037,0.478097283,1018.5547592552036,10.0,462.0092166700853,90.0,415.80829500307686
8/24/2024 4:45,191.0,195.6,182.0,194.7,110.7,"2,908.10",361.4833333333333,364.0388888888889,966.4236612350576,404.97489391637095,40.497489391637096,89.28157506259096,0.419044887,892.8157506259097,10.0,404.97489391637095,90.0,364.47740452473386
